GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
song-microservice,com.csc301.songmicroservice,Song,77,15,0,0,23,6,12,1,12,1
song-microservice,com.csc301.songmicroservice,SongMicroserviceApplication,8,3,0,0,3,1,1,1,1,1
song-microservice,com.csc301.songmicroservice,DbQueryStatus,21,12,0,0,9,5,6,1,6,1
song-microservice,com.csc301.songmicroservice,SongController,330,15,8,0,56,5,8,2,4,2
song-microservice,com.csc301.songmicroservice,SongDalImpl,221,15,28,0,42,6,19,1,5,1
song-microservice,com.csc301.songmicroservice,Utils,56,5,8,0,14,1,8,1,3,1
song-microservice,com.csc301.songmicroservice,DbQueryExecResult,0,21,0,0,0,2,0,1,0,1
